column1,name,serving_size,calories,total_fat,cholesterol,sodium,protein,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,valine,saturated_fatty_acids,fatty_acids_total_trans
75,Snacks potato sticks,100 g,522,34g,0,633.00 mg,6.70 g,0,0,0,0,0,0,0,0,8.880 g,0.00 mg
76,USDA Commodity salsa,100 g,36,0.2g,0,430.00 mg,1.50 g,0,0,0,0,0,0,0,0,0.029 g,0.00 mg
77,Figs uncooked dried,100 g,249,0.9g,0,10.00 mg,3.30 g,0.037 g,0.089 g,0.128 g,0.088 g,0.034 g,0.076 g,0.085 g,0.122 g,0.144 g,0.00 mg
78,Game meat raw horse,100 g,133,4.6g,52mg,53.00 mg,21.39 g,0.822 g,1.014 g,1.696 g,1.823 g,0.473 g,0.879 g,0.959 g,1.108 g,1.440 g,52.00 mg
79,Syrup fruit flavored,100 g,261,0g,0,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
80,Broccoli raw stalks,100 g,28,0.4g,0,27.00 mg,2.98 g,0.050 g,0.109 g,0.131 g,0.141 g,0.034 g,0.084 g,0.091 g,0.128 g,0.054 g,0.00 mg
81,Cream cultured sour,100 g,198,19g,59mg,31.00 mg,2.44 g,0.092 g,0.163 g,0.322 g,0.275 g,0.078 g,0.157 g,0.142 g,0.195 g,10.140 g,59.00 mg
82,Gravy canned au jus,100 g,16,0.2g,0,478.00 mg,1.20 g,0,0,0,0,0,0,0,0,0.100 g,0.00 mg
83,McDONALD'S Hamburger,100 g,264,10g,27mg,494.00 mg,12.92 g,0,0,0,0,0,0,0,0,3.504 g,27.00 mg
84,Cheese port de salut,100 g,352,28g,123mg,534.00 mg,23.78 g,0.686 g,1.446 g,2.482 g,1.987 g,0.734 g,1.323 g,0.876 g,1.707 g,16.691 g,123.00 mg
85,SILK Original Creamer,100 g,100,6.7g,0,67.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
86,SILK Hazelnut Creamer,100 g,133,6.7g,0,67.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
87,Soup mix dry onion,100 g,293,0.3g,0,8031.00 mg,7.48 g,0,0,0,0,0,0,0,0,0.089 g,0.00 mg
88,Mushrooms raw enoki,100 g,37,0.3g,0,3.00 mg,2.66 g,0.070 g,0.090 g,0.130 g,0.130 g,0.030 g,0.150 g,0.110 g,0.230 g,0.020 g,0.00 mg
89,Bacon and beef sticks,100 g,517,44g,102mg,1420.00 mg,29.10 g,0.699 g,0.971 g,1.732 g,1.824 g,0.593 g,0.868 g,0.959 g,1.083 g,16.000 g,102.00 mg
90,Salami pork Italian,100 g,425,37g,80mg,1890.00 mg,21.70 g,0.614 g,1.084 g,1.625 g,1.878 g,0.470 g,0.940 g,1.012 g,1.120 g,13.100 g,80.00 mg
91,Crackers whole-wheat,100 g,427,14g,0,704.00 mg,10.58 g,0.238 g,0.364 g,0.703 g,0.271 g,0.170 g,0.480 g,0.301 g,0.465 g,2.063 g,0.00 mg
92,Peanuts raw spanish,100 g,570,50g,0,22.00 mg,26.15 g,0.661 g,0.920 g,1.696 g,0.939 g,0.321 g,1.356 g,0.896 g,1.097 g,7.098 g,0.00 mg
93,Hominy white canned,100 g,72,0.9g,0,345.00 mg,1.48 g,0.045 g,0.058 g,0.202 g,0.033 g,0.031 g,0.076 g,0.050 g,0.077 g,0.123 g,0.00 mg
94,Game meat raw moose,100 g,102,0.7g,59mg,65.00 mg,22.24 g,0.747 g,1.068 g,1.957 g,2.018 g,0.569 g,0.961 g,1.021 g,1.210 g,0.220 g,59.00 mg
